name	@lat	@lon	population
Quatá	-22.2470977	-50.7003624	13163
João Ramalho	-22.2486157	-50.7677114	4371
Irapuru	-21.5691828	-51.3494606	7085
Mariápolis	-21.7966708	-51.1831475	3513
Caiabu	-22.0143038	-51.2356597	3712
Borá	-22.2703347	-50.5442675	907
Inúbia Paulista	-21.7701831	-50.9616718	3615
Osvaldo Cruz	-21.7962773	-50.8791190	31272
Adamantina	-21.6866517	-51.0762975	34687
Lucélia	-21.7211293	-51.0188000	20061
Pacaembu	-21.5662430	-51.2633114	14877
Flórida Paulista	-21.6140610	-51.1729548	12958
Pracinha	-21.8537103	-51.0862052	2578
Sagres	-21.8840628	-50.9574608	2474
Lavínia	-21.1665477	-51.0410539	9689
Valparaíso	-21.2230369	-50.8666375	24241
Bastos	-21.9222474	-50.7317727	21503
Parapuã	-21.7813090	-50.7922396	10580
Salmourão	-21.6250960	-50.8605656	4808
Murutinga do Sul	-20.9913722	-51.2782237	3737
Guaraçaí	-21.0322387	-51.2100464	7441
Mirandópolis	-21.1328313	-51.1029422	27983
Herculândia	-22.0045080	-50.3862746	9125
Arco-Íris	-21.7741308	-50.4668814	2044
Gabriel Monteiro	-21.5299436	-50.5533059	2763
Santópolis do Aguapeí	-21.6379556	-50.5008527	3899
Rinópolis	-21.7283080	-50.7226134	9259
Iacri	-21.8583385	-50.6892931	6131
Tupã	-21.9349129	-50.5141255	63928
Piacatu	-21.5901744	-50.5972241	5519
Birigui	-21.2908491	-50.3414400	118979
Bilac	-21.4039620	-50.4746400	7319
Castilho	-20.8695636	-51.4877792	19977
Araçatuba	-21.2079920	-50.4390225	200124
Bento de Abreu	-21.2715723	-50.8117225	2606
Clementina	-21.5594631	-50.4486240	6982
Rubiácea	-21.2996334	-50.7298698	2700
Ilha Solteira	-20.4281001	-51.3410871	25549
Nova Canaã Paulista	-20.3872473	-50.9481571	2032
Sud Mennucci	-20.6906175	-50.9240834	7355
Aparecida d'Oeste	-20.4498109	-50.8808706	4086
Pereira Barreto	-20.6378509	-51.1052172	24095
Suzanápolis	-20.5011185	-51.0246771	3408
Itapura	-20.6435211	-51.5084479	3979
Andradina	-20.8965050	-51.3742765	59783
Nova Castilho	-20.7638386	-50.3427479	1062
Guzolândia	-20.6491637	-50.6622974	4246
Dirce Reis	-20.4664067	-50.6062760	1620
Rubinéia	-20.1718325	-50.9995571	3833
Santa Clara d'Oeste	-20.0938889	-50.9263889	2598
Santa Fé do Sul	-20.2106188	-50.9270837	34794
Três Fronteiras	-20.2343550	-50.8905280	6804
Santa Salete	-20.2451795	-50.6889625	1645
São Francisco	-20.3604438	-50.6966030	2602
Santana da Ponte Pensa	-20.2543758	-50.7975649	1670
Palmeira d'Oeste	-20.4168187	-50.7621590	8903
Marinópolis	-20.4408333	-50.8227778	1860
São João de Iracema	-20.5134345	-50.3525950	1846
General Salgado	-20.6488139	-50.3608101	10312
Auriflama	-20.6840418	-50.5554616	13692
Vitória Brasil	-20.1978821	-50.4847947	1794
Jales	-20.2671767	-50.5492435	48776
Pontalinda	-20.4407100	-50.5235329	4127
Santa Albertina	-20.0323485	-50.7278392	6393
Aspásia	-20.1596604	-50.7279226	1842
Santa Rita d'Oeste	-20.1448079	-50.8317569	2733
Urânia	-20.2444910	-50.6450868	8833
Coronel Macedo	-23.6304001	-49.3132340	4280
Fartura	-23.3900390	-49.5109023	16641
Timburi	-23.2064076	-49.6045576	2464
Tejupá	-23.3437238	-49.3772468	4127
Taguaí	-23.4534312	-49.4054454	12669
Piraju	-23.1938491	-49.3842588	29436
Sarutaiá	-23.2747217	-49.4771860	3704
Paranapuã	-20.1033995	-50.5858761	4031
Estrela d'Oeste	-20.2860692	-50.3986216	9417
Turmalina	-20.0530658	-50.4763212	1669
Dolcinópolis	-20.1230736	-50.5132610	2207
Ouroeste	-20.0013584	-50.3736414	10294
Guarani d'Oeste	-20.0749605	-50.3398517	1968
Riversul	-23.8303603	-49.4340558	5599
Barão de Antonina	-23.6295651	-49.5632104	3531
Santa Maria da Serra	-22.5691072	-48.1570950	5243
Torrinha	-22.4302536	-48.1690653	9335
Brotas	-22.2840884	-48.1267265	23898
Ribeirão Bonito	-22.0692867	-48.1781765	10989
Ibirarema	-22.8131812	-50.0720477	6385
Palmital	-22.7863840	-50.2198965	19594
Platina	-22.6328334	-50.2049642	3025
Salto Grande	-22.8878776	-49.9837107	9050
Itaberá	-23.8621345	-49.1398926	17983
Itapeva	-23.9849105	-48.8803886	89728
Taquarituba	-23.5337307	-49.2452541	24350
Itaí	-23.4172598	-49.0935788	25180
Arandu	-23.1345103	-49.0545651	6885
Avaré	-23.1045215	-48.9259103	92805
Conchas	-23.0133538	-48.0077595	15232
Anhembi	-22.7891096	-48.1316776	5674
Vera Cruz	-22.2212638	-49.8243021	10176
Marília	-22.2172002	-49.9500061	237627
Lupércio	-22.4145801	-49.8183516	3981
Ocauçu	-22.4396255	-49.9226712	4331
Santa Cruz do Rio Pardo	-22.9060715	-49.6277378	46442
Ipaussu	-23.0544285	-49.6264306	13712
Chavantes	-23.0406405	-49.7071698	12211
Canitar	-23.0066616	-49.7840632	6283
Echaporã	-22.4325855	-50.2037693	6205
Ribeirão do Sul	-22.7861813	-49.9285258	4677
Campos Novos Paulista	-22.6019520	-49.9987260	4888
Pompeia	-22.1088293	-50.1720753	20196
Oriente	-22.1525442	-50.0935645	6085
Quintana	-22.0705513	-50.3086520	7038
Oscar Bressane	-22.3148740	-50.2811180	2470
Garça	-22.2125766	-49.6547994	42110
Lucianópolis	-22.4310459	-49.5219241	2372
Gália	-22.2936976	-49.5516228	6380
Álvaro de Carvalho	-22.0787992	-49.7194861	4808
Cabrália Paulista	-22.4562909	-49.3385645	4299
Presidente Alves	-22.0999100	-49.4381330	3804
Fernão	-22.3595388	-49.5209504	1656
Duartina	-22.4145620	-49.4083550	12328
Manduri	-23.0059018	-49.3171910	9871
Óleo	-22.9422754	-49.3408082	2512
São Pedro do Turvo	-22.7452860	-49.7428290	7217
Bernardino de Campos	-23.0140216	-49.4760724	11607
Alvinlândia	-22.4431852	-49.7643596	2885
Ubirajara	-22.5261054	-49.6635412	5132
Espírito Santo do Turvo	-22.6939723	-49.4295067	4157
Paulistânia	-22.5730321	-49.3985251	2090
Avanhandava	-21.4603331	-49.9465156	11263
Buritama	-21.0664017	-50.1448077	17210
Zacarias	-21.0523649	-50.0514502	2692
Barbosa	-21.2656610	-49.9518160	5640
Coroados	-21.3554634	-50.2853589	5400
Glicério	-21.3814805	-50.2100452	4138
Brejo Alegre	-21.1671191	-50.1850393	2565
Penápolis	-21.4192406	-50.0765588	61679
Guaimbê	-21.9090720	-49.8986100	5512
Alto Alegre	-21.5820592	-50.1661976	3841
Promissão	-21.5404913	-49.8574709	35131
Getulina	-21.7988557	-49.9288096	10232
Queiroz	-21.7991405	-50.2392786	3265
Avaí	-22.1564662	-49.3316395	4483
Braúna	-21.5015319	-50.3175246	5356
Luiziânia	-21.6763356	-50.3269863	4701
Adolfo	-21.2356597	-49.6441918	4351
Mendonça	-21.1838813	-49.5790590	6159
Sales	-21.3418263	-49.4999228	6437
Irapuã	-21.2791964	-49.4101967	6867
Pongaí	-21.7379814	-49.3584449	3395
Sabino	-21.4598472	-49.5776811	5112
Ubarana	-21.1637674	-49.7167796	5365
José Bonifácio	-21.0550620	-49.6892330	36633
Lins	-21.6741873	-49.7518932	74779
Guaiçara	-21.6213012	-49.7962941	11239
Pirajuí	-21.9957877	-49.4549675	22431
Uru	-21.7846064	-49.2819702	1387
Planalto	-21.0336277	-49.9284517	4389
Júlio Mesquita	-22.0099839	-49.7889446	4254
Guarantã	-21.8950705	-49.5901070	6427
Cafelândia	-21.8054355	-49.6030627	16654
Areiópolis	-22.6758064	-48.6673653	10130
Pratânia	-22.8090270	-48.6656779	5126
Boracéia	-22.1953550	-48.7801925	4715
Arealva	-22.0301906	-48.9111936	8130
Pederneiras	-22.3510860	-48.7781130	44827
Agudos	-22.4719836	-48.9884476	37680
Bauru	-22.3218102	-49.0705863	379146
Piratininga	-22.4136363	-49.1351479	15108
Lençóis Paulista	-22.6029897	-48.8031367	66505
Borebi	-22.5700178	-48.9714871	2713
Iaras	-22.8742567	-49.1593923	8010
Águas de Santa Bárbara	-22.8821912	-49.2383956	7177
Cerqueira César	-23.0353135	-49.1650519	21469
Potirendaba	-21.0457369	-49.3767154	18496
Urupês	-21.2027026	-49.2921996	13744
Nova Aliança	-21.0163728	-49.4981128	6693
Iacanga	-21.8928341	-49.0226082	10437
Borborema	-21.6212706	-49.0741350	14226
Trabiju	-22.0410733	-48.3350302	1682
Reginópolis	-21.8884118	-49.2227300	7662
Dois Córregos	-22.3697554	-48.3845315	24510
Dourado	-22.1162870	-48.3174349	8096
Bocaina	-22.1421831	-48.5222760	11259
Itapuí	-22.2346755	-48.7189744	13659
Bariri	-22.0746355	-48.7394852	31595
Barra Bonita	-22.4908590	-48.5583490	34346
Jaú	-22.2933031	-48.5593432	133497
Macatuba	-22.5002200	-48.7102290	16829
Igaraçu do Tietê	-22.5165369	-48.5582558	23106
São Manuel	-22.7320810	-48.5723160	37289
Botucatu	-22.8879628	-48.4410712	145155
Boa Esperança do Sul	-21.9930206	-48.3917372	12978
Tabatinga	-21.7373768	-48.6880522	14769
Nova Europa	-21.7808203	-48.5661712	9311
Paraíso	-21.0159110	-48.7761050	6099
Cândido Rodrigues	-21.3255615	-48.6308798	2889
Dobrada	-21.5180904	-48.3938897	8759
Gavião Peixoto	-21.8377536	-48.4928530	4702
Vista Alegre do Alto	-21.1712930	-48.6299172	8109
Monte Alto	-21.2655450	-48.4970660	47574
Taquaritinga	-21.4064327	-48.5056132	52260
Fernando Prestes	-21.2660610	-48.6873840	5942
Jaboticabal	-21.2520370	-48.3252230	71821
Santa Ernestina	-21.4634463	-48.3912139	6118
Taiaçu	-21.1431440	-48.5112030	5677
Pirangi	-21.0969623	-48.6652131	10885
Itápolis	-21.5958368	-48.8122696	39493
Novo Horizonte	-21.4674564	-49.2235377	38324
Itaju	-21.9816841	-48.8046536	3618
Ibitinga	-21.7562300	-48.8319030	60033
Ibirá	-21.0815104	-49.2424619	11690
Elisiário	-21.1673392	-49.1111015	3138
Marapoama	-21.2574769	-49.1314719	3292
Itajobi	-21.3122940	-49.0596336	16989
Catanduva	-21.1331035	-48.9712817	115791
Pindorama	-21.1853000	-48.9086100	14542
Catiguá	-21.0491485	-49.0578923	7003
Santa Adélia	-21.2432992	-48.8061481	14018
Embaúba	-20.9819513	-48.8374550	2323
Palmares Paulista	-21.0853690	-48.8036560	9650
Novais	-20.9941576	-48.9188283	4412
Ariranha	-21.1871600	-48.7904180	7602
Araraquara	-21.7886713	-48.1773096	242228
Icém	-20.3413103	-49.1970982	7819
Santa Lúcia	-21.6861811	-48.0836814	7149
Motuca	-21.5095864	-48.1503832	4034
Guariba	-21.3593800	-48.2315800	37498
Rincão	-21.5881095	-48.0724258	9098
Barrinha	-21.1898849	-48.1550642	32092
Pradópolis	-21.3597815	-48.0746603	17078
Lourdes	-20.9672545	-50.2249660	1950
Pitangueiras	-21.0132030	-48.2209510	33674
Turiúba	-20.9491284	-50.1082011	1818
Nova Luzitânia	-20.8558333	-50.2619444	2837
Gastão Vidigal	-20.7956829	-50.1907615	3252
Monções	-20.8509490	-50.0975370	1937
Floreal	-20.6767063	-50.1455638	2733
Magda	-20.6444651	-50.2260983	3165
Taiúva	-21.1238184	-48.4512476	6548
Taquaral	-21.0737300	-48.4125530	2619
Guareí	-23.3718195	-48.1846850	15013
Itapetininga	-23.5886070	-48.0483260	157790
Torre de Pedra	-23.2478026	-48.1941034	2046
Porangaba	-23.1761500	-48.1194640	10451
Quadra	-23.2993320	-48.0546570	3405
Cedral	-20.9028433	-49.2699665	12618
Uchoa	-20.9511060	-49.1712950	10394
Guapiaçu	-20.7966300	-49.2253917	21711
Tabapuã	-20.9648397	-49.0332398	11323
Altair	-20.5238955	-49.0606135	3451
Olímpia	-20.7366340	-48.9106250	55074
Cajobi	-20.8776238	-48.8106972	9133
Severínia	-20.8107530	-48.8053800	14576
Guaraci	-20.4976771	-48.9452074	10350
São José do Rio Preto	-20.8125851	-49.3804212	480393
Mirassol	-20.8141411	-49.5074490	63337
Bady Bassitt	-20.9178969	-49.4517911	27260
Tanabi	-20.6251635	-49.6519879	25265
Cosmorama	-20.4801328	-49.7782265	8719
Bálsamo	-20.7343722	-49.5807484	9596
Jaci	-20.8844434	-49.5710544	7613
Neves Paulista	-20.8429920	-49.6357670	9699
Orindiúva	-20.1819444	-49.3508333	6024
Palestina	-20.3893440	-49.4320384	11476
Pontes Gestal	-20.1833464	-49.7031406	2387
Américo de Campos	-20.2984760	-49.7359040	5870
Nova Granada	-20.5345426	-49.3186951	19419
Onda Verde	-20.6071428	-49.2950997	4771
Ipiguá	-20.6572820	-49.3881146	6761
Mirassolândia	-20.6147204	-49.4628170	4669
Meridiano	-20.3547223	-50.1725740	4572
Valentim Gentil	-20.4226107	-50.0861511	14098
Sebastianópolis do Sul	-20.6581669	-49.9229043	3130
Fernandópolis	-20.2825647	-50.2500762	71186
Poloni	-20.7836955	-49.8149752	5592
Nhandeara	-20.6943324	-50.0406028	9852
Macaubal	-20.8071616	-49.9648439	7481
União Paulista	-20.8878168	-49.8986804	1603
Nipoã	-20.9126469	-49.7791476	4750
Monte Aprazível	-20.7625702	-49.7088402	22280
Álvares Florence	-20.3205523	-49.9085255	3915
Cardoso	-20.0804470	-49.9139767	11345
Votuporanga	-20.4252908	-49.9720280	96634
Parisi	-20.3039424	-50.0135808	2892
Pedranópolis	-20.2491770	-50.1102463	2787
Macedônia	-20.1454034	-50.1939110	3963
Bebedouro	-20.9490770	-48.4790830	76373
Viradouro	-20.8726051	-48.2968122	17414
Terra Roxa	-20.7870150	-48.3314420	7904
Jaborandi	-20.6921079	-48.4144076	6221
Paulo de Faria	-20.0295930	-49.3998592	7400
Monte Azul Paulista	-20.9064900	-48.6387170	18151
Colina	-20.7114430	-48.5386700	18486
Barretos	-20.5531437	-48.5697509	122485
Colômbia	-20.1774291	-48.6872822	6629
Guaíra	-20.3245873	-48.3148818	39279
Miguelópolis	-20.1796120	-48.0309970	19441
Balbinos	-21.9006253	-49.3583966	3887
Mesópolis	-19.9662274	-50.6190438	1952
Populina	-19.9427771	-50.5372875	4127
Mira Estrela	-19.9806298	-50.1368730	3126
Riolândia	-19.9809440	-49.6814309	10309
Indiaporã	-19.9802644	-50.2906035	4035
Diadema	-23.6866428	-46.6246935	393237
Itararé	-24.1145368	-49.3352464	44438
Capão Bonito	-24.0048759	-48.3489848	46337
Barra do Chapéu	-24.4722030	-49.0237840	5179
Bom Sucesso de Itararé	-24.3190016	-49.1446207	3555
Itaoca	-24.6409691	-48.8410159	3422
Apiaí	-24.5076527	-48.8461582	24585
Ribeira	-24.6577435	-49.0086372	3132
Itapirapuã Paulista	-24.5735083	-49.1703846	4306
Guapiara	-24.1892100	-48.5295490	17071
Cajati	-24.7272376	-48.1077914	28515
Eldorado	-24.5225830	-48.1093489	13069
Nova Campina	-24.1225305	-48.9054041	8497
Ribeirão Branco	-24.2211495	-48.7678322	18627
Barra do Turvo	-24.7564210	-48.5056942	6876
Iporanga	-24.5843214	-48.5940280	4046
Sete Barras	-24.3878438	-47.9265798	12730
Registro	-24.4979420	-47.8448950	59947
Ilha Comprida	-24.7445292	-47.5525529	13419
Juquiá	-24.3172209	-47.6355618	17154
Miracatu	-24.2839078	-47.4535128	18553
Itariri	-24.2900711	-47.1761510	15528
Mongaguá	-24.0959454	-46.6234361	61951
Ariri	-25.2170755	-48.0406184	
Campina de Fora	-24.3126461	-48.9454652	
Araçaíba	-24.4264610	-48.8509030	
Itapeúna	-24.5959938	-48.2172952	
Apiaí-Mirim	-24.0752362	-48.5698202	
Braço	-24.6377993	-48.2922452	
Itabôa	-24.2593239	-48.8983117	
Oliveira Barros	-24.3193535	-47.5433513	
Pedro Barros	-24.2496943	-47.3732226	
Santa Rita do Ribeira	-24.1518470	-47.3173620	
Ana Dias	-24.2988008	-47.0702157	
Solemar	-24.0777937	-46.5873073	
Cubatão	-24.9739630	-47.9477749	
Pedrinhas	-24.8919776	-47.7987776	
Jairê	-24.6566960	-47.7328330	
Arabá	-19.8721186	-50.4207473	
Povoado do Sol	-19.9924550	-50.4614570	
São Carlos	-22.0180395	-47.8911540	254857
Santo André	-23.6533509	-46.5279039	748919
Itapecerica da Serra	-23.7176303	-46.8492435	158522
Presidente Venceslau	-21.8771160	-51.8451047	35201
Barra do Una	-23.7590702	-45.7636377	
São José dos Campos	-23.1867782	-45.8854538	697054
Jardim Santa Rita	-22.7700303	-47.3900599	
Vila Mollon	-22.7519654	-47.3662651	
Glebas California	-22.7396611	-47.4394610	
Vila Grego	-22.7447109	-47.4207799	
Romano	-22.7721255	-47.4207034	
Santo Antônio do Sapezeiro	-22.8244274	-47.4860455	
Vila Zilda	-23.9747663	-46.2516312	
Vila Edna	-23.9722640	-46.2485896	
Bairro Macacos	-22.8141721	-44.8393544	
Lagoinha	-23.0898337	-45.1903825	5083
Guarulhos	-23.4675941	-46.5277704	1291771
Betel	-22.8057331	-47.1186476	
Cerrado	-24.0469624	-49.3478448	
São Vicente	-23.9664177	-46.3861401	329911
Pontal	-21.0239714	-48.0393457	37607
Itaporanga	-23.7066252	-49.4895934	14085
Campos de Holambra	-23.4396292	-48.8776748	
Toque-Toque Grande	-23.8321267	-45.5095232	
Guaecá	-23.8189336	-45.4601707	
Santiago	-23.8092374	-45.5417188	
Mineiros	-23.4046894	-49.1814441	
Santa Terezinha	-23.3628431	-49.1868209	
Silvânia	-21.6394444	-48.2958333	180
Guatapará	-21.4960920	-48.0360685	7320
Boiçucanga	-23.7812604	-45.6222934	
Camburi	-23.7742146	-45.6437259	
Mineiros do Tietê	-22.4133188	-48.4505540	11230
Majestic	-23.1963143	-45.7561290	
Portal do Céu	-23.1914821	-45.7696902	
Santa Rita	-23.1946181	-45.7662141	
Capão Grosso II	-23.1887010	-45.7646906	
Jardim Ebenezer	-23.1987008	-45.7717823	
Chácara Boa Esperança	-23.2033355	-45.7800435	
Santa Lúcia	-23.1946477	-45.7712995	
Santa Helena	-23.1959494	-45.7989370	
Jardim Mariana II	-23.2161937	-45.8061468	
Estâncias Jockey Clube	-20.8560596	-49.3461535	
Chácara Bela Vista 2ª parte	-20.8711216	-49.3172238	
Engenheiro Maia	-24.0373621	-49.0993315	2192
Barnabés	-23.9830886	-47.1442723	
Salto	-23.5482755	-48.5147385	
Tapiratiba	-21.4682400	-46.7493221	11816
Chácara Bela Vista 1ª parte	-20.8669289	-49.3195794	
Matão	-21.6033611	-48.3660603	79033
Alto da Brancal	-24.1093158	-48.8064816	
Ferraz	-22.2628955	-47.5882065	
Lajeado de Araçaíba	-24.3810462	-48.9104264	
Paulínia	-22.7630391	-47.1532213	110537
Ribeirão Pires	-23.7134177	-46.4160929	115559
Tupi Paulista	-21.3861179	-51.5763259	15854
Ribeirão Grande	-24.1011400	-48.3679310	7450
Bairro Paiquerê	-23.8424892	-48.4997500	
Cercadinho	-23.6534024	-48.9384133	
Amarela Velha	-23.6698398	-48.9387491	
Assis	-22.6620892	-50.4206230	101409
Rechan	-23.5980092	-48.3171408	4772
Mombuca	-21.5465839	-47.9575655	
Caputira	-21.1537193	-49.0599845	
Pinheiro do Amaral	-24.1746082	-48.5079961	
"4,5 - Rio Bonito"	-23.9463956	-47.2165139	
Mangaratu	-20.4322432	-49.3326224	
Bairro da Itaoca	-24.2597454	-49.0017304	
Bananal	-22.6820178	-44.3221805	9969
Bairro da Betânia	-24.0564086	-48.9334610	
Pousada das Garças	-20.4240658	-49.2695611	
Chacaras São Francisco	-22.5065030	-46.9697730	
Sol Nascente	-22.4964931	-46.9760366	
Usina Esmeralda	-22.5451651	-46.9574606	
Morro Agudo	-20.7276692	-48.0527950	27933
Vila dos Oficiais	-21.9332451	-47.3563555	
Vila dos Sargentos	-21.9924462	-47.3646874	
Jardim São Pedro	-23.7218878	-46.7972058	
Itatiba	-23.0055542	-46.8397726	121590
São João das Duas Pontes	-20.3878223	-50.3788580	2580
Marujá	-25.2121827	-47.9958163	
Pereirinha	-25.0683730	-47.9202855	
Boqueirão Sul	-25.0227488	-47.9147859	
Takaoka	-23.6302625	-48.9512477	
André Lopes	-24.6003590	-48.4061434	312
Guararapes	-21.2542739	-50.6440083	31043
Momuna	-24.6983115	-47.6737285	
Morro Agudo	-24.4840079	-49.1136618	
Catas Altas	-24.6304580	-49.0365419	
Palmitalzinho	-24.3710450	-49.0462730	
Ribeirão da Várzea	-24.4918455	-49.2261312	
Gramadão	-23.8470644	-48.1857333	
Primeira Aliança	-21.0012354	-51.0877191	
Dumont	-21.2391417	-47.9747665	9471
Bonete	-23.9168077	-45.3448189	
Condomínio	-25.0183899	-47.9333768	
Bairro Miguel Russo	-23.8244704	-47.4528023	
Barra do Ribeira	-24.6486975	-47.3822875	
Ipuã	-20.4441839	-48.0125040	14454
Caieiras	-23.3644621	-46.7484765	95032
Pati	-21.2024166	-48.0002017	
Jardim Aracati	-23.7223392	-46.7719212	
Cidade Ipava	-23.7242658	-46.7627688	
Vila Gilda	-23.7249140	-46.7534991	
Vila Linópolis	-22.7589730	-47.4233128	
Monteiro Lobato	-22.9553542	-45.8387146	4138
Agrovila 3	-21.6759692	-51.9565617	
Tarumã	-22.7474736	-50.5783374	14882
Fazenda Velha	-23.1966249	-47.8756483	
Porto	-23.5327749	-47.7627864	
Santa Rosa	-21.2891200	-48.8717345	
São Roque Novo	-23.0665050	-48.1723816	
Terra Preta	-23.2624311	-46.5888475	
Tomé	-23.8157998	-49.2726325	
Torninos	-23.2137947	-47.9082054	
São Paulo Bagre	-24.9564034	-47.8902072	
Villaggio di Santa Clara	-23.5662633	-47.5928597	
Zona Leste (SBO)	-22.7425959	-47.3650813	
Jardim Europa	-22.7258590	-47.3675137	
Itararé	-23.7611004	-46.7971837	
Matinho	-23.7988492	-46.7550784	
Vila Roschel	-23.8331167	-46.7346909	
Agostinho	-23.8238831	-47.1117249	
Bairro dos Grilos	-23.8050377	-47.1214238	
Juruvaúva	-24.9284936	-47.8402582	
Morretinho	-25.0274006	-47.9126885	
Trincheiras	-25.0401885	-47.9118812	
Ubatuba	-24.8734428	-47.7697724	
Vila Nova	-24.8253153	-47.7021351	
Bom Retiro	-23.7808552	-48.3200824	
Rio Azeite	-24.7872372	-48.1756711	
Vila Tatu	-24.8032230	-48.2129448	
Chácara Alvorada	-22.2037102	-46.9879389	
Agrovila IV	-21.7077218	-51.9424869	
Roseira	-23.3313091	-46.8218805	
Taquaral	-21.6222719	-47.9103854	
Guararema	-23.4136776	-46.0383744	31236
Jardim São Lourenço	-23.7042008	-46.7881994	
Chácara Santa Maria	-23.6954378	-46.7935638	
Jardim Idemori	-23.7038472	-46.7956666	
Morro do índio	-23.6892090	-46.7767410	
Jardim Copacabana	-23.6909871	-46.7716013	
Pinheiro dos Costas	-24.1956007	-48.4874932	
Pinheiro dos Santana	-24.2305038	-48.4711102	
Paivinhas	-24.2253526	-48.4824721	
Pianos	-24.2276420	-48.4951965	
Pinheiro dos Nunes	-24.2091296	-48.4840385	
Benfica	-22.5911803	-45.2076781	
Vila Tupinambá	-20.0223934	-50.2413162	
Capão da Pescaria	-23.7369709	-48.3535424	
São Roque	-23.7514865	-48.2180615	
Vira-copos	-23.6928669	-48.2258292	
Biscoito Duro	-23.8423439	-48.2074689	
Pocinho	-23.8601439	-48.1751965	
Querência do Turvo	-23.8573377	-48.2221459	
Turvo dos Almeidas	-23.8570433	-48.2088851	
Brejão	-20.1905889	-47.7867079	
Ourinhos	-22.9777918	-49.8682040	103970
Irapé	-23.0610710	-49.7350538	
Serrinha	-20.9053438	-48.9627600	
Vila da Barra do Una	-24.4407256	-47.0714299	
Aguaí	-22.0592036	-46.9793840	32072
Capela do Alto	-23.4704798	-47.7352309	22866
Cachoeirinha	-22.3203715	-47.5425889	
Assentamento Monte Alegre VI	-21.6088555	-48.2437001	
Assentamento Monte Alegre I	-21.5586946	-48.2255137	
Assentamento Monte Alegre IV	-21.5741527	-48.1893909	
Assentamento Monte Alegre II	-21.6001864	-48.1975480	
Assentamento Monte Alegre III	-21.5907989	-48.2451770	
Assentamento Monte Alegre V	-21.5536576	-48.2377736	
Bairro do Barreiro	-23.4538275	-49.2883152	
Bom Retiro	-22.7994955	-47.4275869	
Associação Maranata	-24.1162888	-48.9228353	
Bairro Taquari Guaçu	-24.0142672	-48.9399569	
Bairro Caçador	-24.2121358	-48.8641819	
Paiol do Meio	-23.8839953	-46.9766675	
Laranjeiras	-23.8593273	-47.1315138	
Juquiá Grande	-23.9836028	-47.2213141	
Bairro Juquiá	-24.0066024	-47.2706485	
Iubatinga	-21.9129744	-51.2093797	
Campo Grande	-22.9360851	-47.1601215	190000
Ouro Verde	-22.9667274	-47.1319457	240000
Arcadas	-22.7209074	-46.8441909	
Barra do Batatal	-24.5858416	-48.2705355	
Clube Água Nova	-22.6001248	-48.4390855	
Aldeia Indigena	-24.7013721	-47.5445299	
